mmsi,timestamp,latitude,longitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,navigation_status,length_m,width_m,draft_m,cargo,transceiver_class,invalid_mmsi,invalid_timestamp,invalid_latitude,invalid_longitude,sog_unavailable,sog_invalid,cog_unavailable,cog_invalid,heading_unavailable,heading_invalid,is_valid_core_record,duplicate_record,elapsed_seconds,reporting_gap_minutes,distance_nm,calculated_speed_knots,speed_difference_knots,course_change_degrees,heading_change_degrees,acceleration_knots_per_minute,absolute_acceleration_knots_per_minute,turn_rate_degrees_per_minute,ml_decision_function,ml_anomaly_score,ml_is_anomaly
227730770,2024-06-14 01:44:37+00:00,40.69392,-74.0506,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0032718152454039823,0.06543630490807964,0.034563695091920366,0.0,,0.03333333333333333,0.03333333333333333,0.0,0.16513504599711654,-0.16513504599711654,False
227730770,2024-06-14 01:47:41+00:00,40.69392,-74.05059,0.0,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,184.0,3.066666666666667,0.0004552288927746814,0.008906652249939417,0.008906652249939417,0.0,,-0.03260869565217391,0.03260869565217391,0.0,0.16177361299248127,-0.16177361299248127,False
227730770,2024-06-14 01:50:37+00:00,40.69391,-74.0506,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,176.0,2.933333333333333,0.0007534713452145205,0.01541191387938792,0.08458808612061208,0.0,,0.034090909090909095,0.034090909090909095,0.0,0.1640265001748114,-0.1640265001748114,False
227730770,2024-06-14 01:53:38+00:00,40.69392,-74.05062,0.2,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,181.0,3.0166666666666666,0.0010906049673306052,0.021691590510442976,0.17830840948955703,0.0,,0.03314917127071824,0.03314917127071824,0.0,0.15339160405870422,-0.15339160405870422,False
227730770,2024-06-14 01:56:37+00:00,40.69391,-74.05066,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,179.0,2.9833333333333334,0.001917347049145337,0.03856116970348163,0.06143883029651837,0.0,,-0.0335195530726257,0.0335195530726257,0.0,0.16505707313775497,-0.16505707313775497,False
227730770,2024-06-14 01:59:37+00:00,40.69391,-74.05069,0.2,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0013656868832996286,0.02731373766599257,0.17268626233400744,0.0,,0.03333333333333333,0.03333333333333333,0.0,0.1534230237331023,-0.1534230237331023,False
227730770,2024-06-14 02:29:38+00:00,40.69392,-74.05066,0.0,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,1801.0,30.016666666666666,0.0014918398290108424,0.002982022978589135,0.002982022978589135,0.0,,-0.006662965019433648,0.006662965019433648,0.0,0.12368000346931118,-0.12368000346931118,False
227730770,2024-06-14 02:32:38+00:00,40.69393,-74.05062,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.001917346789709553,0.03834693579419106,0.06165306420580895,0.0,,0.03333333333333333,0.03333333333333333,0.0,0.16505707313775497,-0.16505707313775497,False
227730770,2024-06-14 02:38:37+00:00,40.69393,-74.0506,0.1,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,359.0,5.983333333333333,0.0009104576483197877,0.009129937420476979,0.09087006257952303,0.0,,0.0,0.0,0.0,0.14707737963918843,-0.14707737963918843,False
227730770,2024-06-14 02:41:37+00:00,40.69393,-74.05061,0.2,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0004552288244494706,0.009104576488989411,0.1908954235110106,0.0,,0.03333333333333333,0.03333333333333333,0.0,0.15266974138739925,-0.15266974138739925,False
227730770,2024-06-14 02:44:37+00:00,40.69392,-74.05062,0.0,39.4,,AMBROISE,,FGF5411,36,,16.0,9.0,,,B,False,False,False,False,False,False,False,False,True,False,True,False,180.0,3.0,0.0007534713038885353,0.015069426077770707,0.015069426077770707,0.0,,-0.06666666666666667,0.06666666666666667,0.0,0.16203024480602435,-0.16203024480602435,False
